Encoding	Decoding
525.0005	283.0003
528.0005	5461.0055
524.0005	283.0003
525.0005	283.0003
527.0005	5446.0054
622.0006	-994556.9946
527.0005	5523.0055
526.0005	5441.0054
525.0005	5451.0055
525.0005	5433.0054
615.0006	5477.0055
526.0005	5483.0055
526.0005	5460.0055
525.0005	286.0003
525.0005	281.0003
527.0005	3872.0039
527.0005	280.0003
526.0005	280.0003
526.0005	5421.0054
528.0005	5419.0054
526.0005	3879.0039
527.0005	282.0003
526.0005	284.0003
528.0005	5404.0054
525.0005	5406.0054
527.0005	5472.0055
526.0005	279.0003
525.0005	283.0003
525.0005	5405.0054
526.0005	322.0003
629.0006	296.0003
524.0005	285.0003
527.0005	5508.0055
527.0005	5443.0054
526.0005	5462.0055
525.0005	5393.0054
525.0005	5402.0054
525.0005	5420.0054
526.0005	3868.0039
527.0005	280.0003
526.0005	283.0003
527.0005	3868.0039
523.0005	454.0005
525.0005	285.0003
525.0005	3006.0030
527.0005	292.0003
525.0005	284.0003
527.0005	5449.0054
527.0005	3876.0039
527.0005	5472.0055
527.0005	290.0003
526.0005	282.0003
524.0005	5460.0055
526.0005	320.0003
623.0006	298.0003
525.0005	281.0003
526.0005	5411.0054
525.0005	284.0003
524.0005	281.0003
526.0005	5449.0054
525.0005	330.0003
526.0005	292.0003
524.0005	283.0003
527.0005	5395.0054
527.0005	3891.0039
527.0005	448.0004
526.0005	286.0003
529.0005	5478.0055
623.0006	5723.0057
526.0005	280.0003
524.0005	286.0003
525.0005	5478.0055
728.0007	5457.0055
527.0005	5404.0054
527.0005	5415.0054
526.0005	4701.0047
527.0005	415.0004
526.0005	286.0003
527.0005	5458.0055
615.0006	5454.0055
527.0005	5423.0054
527.0005	5400.0054
526.0005	286.0003
525.0005	284.0003
528.0005	5425.0054
526.0005	5431.0054
527.0005	281.0003
527.0005	284.0003
527.0005	5473.0055
619.0006	5415.0054
526.0005	5433.0054
527.0005	5448.0054
526.0005	288.0003
527.0005	282.0003
526.0005	3819.0038
528.0005	280.0003
525.0005	282.0003
525.0005	5455.0055
527.0005	5434.0054
526.0005	5417.0054
526.0005	5431.0054
527.0005	282.0003
526.0005	281.0003
526.0005	5418.0054
525.0005	324.0003
625.0006	296.0003
524.0005	281.0003
526.0005	5410.0054
526.0005	5389.0054
527.0005	322.0003
524.0005	453.0005
527.0005	284.0003
526.0005	3027.0030
526.0005	5835.0058
527.0005	446.0004
525.0005	285.0003
527.0005	3016.0030
526.0005	456.0005
526.0005	283.0003
527.0005	5427.0054
624.0006	5437.0054
525.0005	5505.0055
528.0005	5388.0054
528.0005	5437.0054
527.0005	431.0004
524.0005	287.0003
526.0005	3055.0031
630.0006	295.0003
525.0005	284.0003
626.0006	5459.0055
527.0005	5541.0055
